DeltaFuel,RefillTimeStamp,before_avg,after_avg,Origin,SupplyTimeStamp,FuelLevelLiters,time_discrepancy,fuel_discrepancy,supply_turno,refill_turno,classification,event_type
2150.08,2024-02-01T09:09:00.000000,841.792,2992.7039999999993,SST,2024-02-01T06:00:00.000000,2452.0,11340,301.9200000000001,D,D,TSNormal,Both_Events
2092.48,2024-02-02T08:04:30.000000,938.4639999999999,3037.6639999999998,SST,2024-02-02T07:00:00.000000,2347.0,3870,254.51999999999998,D,D,TSNormal,Both_Events
1179.8400000000001,2024-02-03T01:59:00.000000,1753.8880000000001,2929.9839999999995,SST,2024-02-03T08:00:00.000000,2451.0,21660,1271.1599999999999,D,N,TSAtrasado,Both_Events
1908.7999999999997,2024-02-04T00:57:00.000000,768.768,2675.2640000000006,SST,2024-02-04T08:00:00.000000,2202.0,25380,293.2000000000003,D,N,TSAtrasado,Both_Events
2024.0,2024-02-04T16:39:00.000000,1036.0,3046.1760000000004,SST,2024-02-04T08:00:00.000000,2202.0,31140,178.0,D,D,TSNormal,Both_Events
1986.8799999999999,2024-02-05T16:21:30.000000,1071.2320000000002,3050.432,SST,2024-02-05T08:00:00.000000,2177.0,30090,190.12000000000012,D,D,TSNormal,Both_Events
2203.52,2024-02-06T15:32:30.000000,782.9759999999999,2988.5440000000003,SST,2024-02-06T08:00:00.000000,2538.0,27150,334.48,D,D,TSNormal,Both_Events
1598.7200000000003,2024-02-07T17:02:30.000000,1040.2879999999998,2626.5280000000002,SURTIDOR-TRUCKSHOP,2024-02-07T17:00:37.607000,1700.0,112,101.27999999999975,D,D,TSNormal,Both_Events
1767.6800000000003,2024-02-08T08:01:00.000000,1002.8800000000001,2781.472,SST,2024-02-08T07:00:00.000000,1912.0,3660,144.3199999999997,D,D,TSNormal,Both_Events
1625.9199999999998,2024-02-09T02:55:00.000000,837.984,2462.3679999999995,SURTIDOR-TRUCKSHOP,2024-02-09T02:52:25.133000,1859.0,154,233.08000000000015,N,N,TSNormal,Both_Events
2124.48,2024-02-09T20:32:00.000000,886.8800000000001,3082.528,SST,2024-02-09T18:00:00.000000,2541.0,9120,416.52,N,N,TSNormal,Both_Events
2001.6000000000001,2024-02-12T08:33:00.000000,848.832,2839.5520000000006,SST,2024-02-12T07:00:00.000000,2268.0,5580,266.39999999999986,D,D,TSNormal,Both_Events
1787.8400000000001,2024-02-13T08:51:30.000000,877.4400000000002,2647.9039999999995,SURTIDOR-TRUCKSHOP,2024-02-13T08:49:11.910000,1966.0,138,178.15999999999985,D,D,TSNormal,Both_Events
1892.1599999999999,2024-02-14T05:10:30.000000,973.5360000000001,2865.536,SURTIDOR-TRUCKSHOP,2024-02-14T05:08:45.600000,2232.0,104,339.84000000000015,N,N,TSNormal,Both_Events
2222.4,2024-02-15T02:41:30.000000,804.8639999999999,3065.312,SURTIDOR-TRUCKSHOP,2024-02-15T02:39:51.743000,2612.0,98,389.5999999999999,N,N,TSNormal,Both_Events
1886.08,2024-02-15T23:01:00.000000,961.1200000000001,2830.656,SST,2024-02-15T18:00:00.000000,2023.0,18060,136.92000000000007,N,N,TSNormal,Both_Events
1936.96,2024-02-16T20:31:30.000000,886.048,2826.7200000000003,SST,2024-02-17T08:00:00.000000,2156.0,41310,219.03999999999996,D,N,TSAtrasado,Both_Events
1709.7600000000002,2024-02-17T15:37:00.000000,857.7280000000001,2581.216,SURTIDOR-TRUCKSHOP,2024-02-17T15:34:31.617000,1915.0,148,205.23999999999978,D,D,TSNormal,Both_Events
1787.5199999999998,2024-02-18T10:15:00.000000,798.272,2583.168,SURTIDOR-TRUCKSHOP,2024-02-18T10:12:46.570000,2065.0,133,277.48000000000025,D,D,TSNormal,Both_Events
2061.12,2024-02-19T04:34:00.000000,964.0319999999998,3068.448,P068,2024-02-18T19:00:00.000000,2369.0,34440,307.8800000000001,N,N,TSNormal,Both_Events
2044.8,2024-02-20T05:24:30.000000,984.0959999999999,3042.9759999999997,SURTIDOR-TRUCKSHOP,2024-02-20T05:21:35.720000,2254.0,174,209.20000000000005,N,N,TSNormal,Both_Events
1791.04,2024-02-20T22:48:00.000000,1223.936,3044.767999999999,SST,2024-02-21T08:00:00.000000,2013.0,33120,221.96000000000004,D,N,TSAtrasado,Both_Events
2167.68,2024-02-21T21:32:00.000000,890.9119999999999,3088.224,SURTIDOR-TRUCKSHOP,2024-02-21T21:30:16.267000,2485.0,103,317.32000000000016,N,N,TSNormal,Both_Events
1760.3199999999997,2024-02-23T14:45:00.000000,739.5199999999999,2492.1600000000003,SURTIDOR-TRUCKSHOP,2024-02-23T14:42:40.143000,2054.0,139,293.6800000000003,D,D,TSNormal,Both_Events
1812.48,2024-02-24T08:44:00.000000,1182.3039999999999,3010.816,SST,2024-02-24T07:00:00.000000,2018.0,6240,205.51999999999998,D,D,TSNormal,Both_Events
2167.6800000000003,2024-02-25T03:44:00.000000,812.7679999999999,2993.4719999999998,SST,2024-02-25T08:00:00.000000,2510.0,15360,342.3199999999997,D,N,TSAtrasado,Both_Events
2150.08,2024-02-25T21:02:30.000000,778.496,2952.6400000000003,SST,2024-02-26T08:00:00.000000,2575.0,39450,424.9200000000001,D,N,TSAtrasado,Both_Events
2192.0,2024-02-26T22:53:00.000000,769.664,2956.512,SST,2024-02-27T08:00:00.000000,2569.0,32820,377.0,D,N,TSAtrasado,Both_Events
1194.88,2024-02-28T21:44:30.000000,862.3040000000001,2994.2400000000002,SST,2024-02-29T07:00:00.000000,2398.0,33330,1203.12,D,N,TSAtrasado,Both_Events
2135.3599999999997,2024-02-29T22:23:00.000000,841.792,2982.592,SST,2024-03-01T08:00:00.000000,2430.0,34620,294.6400000000003,D,N,TSAtrasado,Both_Events
1927.04,2024-03-01T23:22:00.000000,838.208,2753.504,SURTIDOR-TRUCKSHOP,2024-03-01T23:19:46.343000,2201.0,133,273.96000000000004,N,N,TSNormal,Both_Events
1671.04,2024-03-02T17:23:00.000000,1187.072,2846.9439999999995,SST,2024-03-02T07:00:00.000000,1908.0,37380,236.96000000000004,D,D,TSNormal,Both_Events
187.19999999999982,2024-03-03T10:41:30.000000,866.144,2804.1279999999997,SST,2024-03-03T08:00:00.000000,2173.0,9690,1985.8000000000002,D,D,TSNormal,Both_Events
836.48,2024-03-04T16:14:00.000000,917.8880000000001,2893.568,SST,2024-03-04T08:00:00.000000,2200.0,29640,1363.52,D,D,TSNormal,Both_Events
1591.3600000000001,2024-03-05T10:46:00.000000,970.048,2542.9119999999994,SURTIDOR-TRUCKSHOP,2024-03-05T10:44:01.627000,1698.0,118,106.63999999999987,D,D,TSNormal,Both_Events
1923.8399999999997,2024-03-06T08:13:00.000000,844.1599999999999,2762.7519999999995,SURTIDOR-TRUCKSHOP,2024-03-06T08:10:33.917000,2171.0,146,247.1600000000003,D,D,TSNormal,Both_Events
346.8800000000001,2024-03-07T04:40:00.000000,926.048,2793.8240000000005,SST,2024-03-07T08:00:00.000000,2068.0,12000,1721.12,D,N,TSAtrasado,Both_Events
1962.2399999999998,2024-03-08T01:53:30.000000,747.7760000000001,2711.2,SST,2024-03-08T08:00:00.000000,2050.0,21990,87.76000000000022,D,N,TSAtrasado,Both_Events
2115.52,2024-03-09T09:19:00.000000,927.936,3080.8319999999994,P068,2024-03-09T08:00:00.000000,2413.0,4740,297.48,D,D,TSNormal,Both_Events
2179.2,2024-03-10T08:52:30.000000,840.448,3060.3199999999993,SST,2024-03-10T06:00:00.000000,2525.0,10350,345.8000000000002,D,D,TSNormal,Both_Events
1947.8400000000001,2024-03-11T23:00:30.000000,823.36,2771.6159999999995,SST,2024-03-12T06:00:00.000000,2206.0,25170,258.15999999999985,D,N,TSAtrasado,Both_Events
