fecha,Event_Type,refill_TimeStamp,DeltaFuel,valid_fuel,before_avg,supply_TimeStamp,Origin,FuelLevelLiters,dif entreFuelLevel,,,,
2/1/2024,Both_Events,2024-02-01T09:09:00.000000,2150.08,2990.4,841.792,2024-02-01T06:00:00.000000,SST,2452,301.92,,,,
2/2/2024,Both_Events,2024-02-02T08:04:30.000000,2092.48,3022.08,938.4639999999999,2024-02-02T07:00:00.000000,SST,2347,254.52,,,,
2/3/2024,Both_Events,2024-02-03T01:59:00.000000,1179.8400000000001,2926.4,1753.8880000000001,2024-02-03T08:00:00.000000,SST,2451,1271.16,,1,diferencia en valores de combustible,
2/4/2024,Both_Events,2024-02-04T00:57:00.000000,1908.7999999999997,2670.72,768.768,2024-02-04T08:00:00.000000,SST,2202,293.2,,2,"diferenciar el tiempo que se tarde entre el registros en el turno y el atrasado,",
2/4/2024,Both_Events,2024-02-04T16:39:00.000000,2024,3039.68,1036,2024-02-04T08:00:00.000000,SST,1652,-372,,,,registro atrasado cuando la carga ocurre en el turno anterior y se registra en almacenes en el siguiente turno
2/5/2024,Both_Events,2024-02-05T16:21:30.000000,1986.8799999999999,3050.56,1071.2320000000002,2024-02-05T08:00:00.000000,SST,2177,190.12,,,,registro normal  cuando ocurre en el turno y se registra en almacenes en el mismo turno
2/6/2024,Both_Events,2024-02-06T15:32:30.000000,2203.52,2993.92,782.9759999999999,2024-02-06T08:00:00.000000,SST,2538,334.48,,3,"cuando se carga el surtidor: media, mode, desviacion estandar de la diferencia de horaas entre segundos, entre eventos del sensor y surtidor",
2/7/2024,Both_Events,2024-02-07T17:02:30.000000,1598.7200000000003,2635.84,1040.2879999999998,2024-02-07T17:00:37.607000,SURTIDOR-TRUCKSHOP,1700,101.28,,4,"revisar porque los eventos solo de uno, y clasificar el motivo.",
2/8/2024,Both_Events,2024-02-08T08:01:00.000000,1767.6800000000003,2759.36,1002.8800000000001,2024-02-08T07:00:00.000000,SST,1912,144.32,,,,
2/9/2024,Both_Events,2024-02-09T02:55:00.000000,1625.9199999999998,2471.68,837.984,2024-02-09T02:52:25.133000,SURTIDOR-TRUCKSHOP,1859,233.08,,,,
2/9/2024,Both_Events,2024-02-09T20:32:00.000000,2124.48,3008,886.8800000000001,2024-02-09T18:00:00.000000,SST,2541,416.52,,,,
2/12/2024,Both_Events,2024-02-12T08:33:00.000000,2001.6000000000001,2852.8,848.832,2024-02-12T07:00:00.000000,SST,2268,266.4,,,,
2/13/2024,Both_Events,2024-02-13T08:51:30.000000,1787.8400000000001,2660.8,877.4400000000002,2024-02-13T08:49:11.910000,SURTIDOR-TRUCKSHOP,1966,178.16,,,,
2/14/2024,Both_Events,2024-02-14T05:10:30.000000,1892.1599999999999,2867.52,973.5360000000001,2024-02-14T05:08:45.600000,SURTIDOR-TRUCKSHOP,2232,339.84,,,,
2/15/2024,Both_Events,2024-02-15T02:41:30.000000,2222.4,3018.56,804.8639999999999,2024-02-15T02:39:51.743000,SURTIDOR-TRUCKSHOP,2612,389.6,,,,
2/15/2024,Both_Events,2024-02-15T23:01:00.000000,1886.08,2848,961.1200000000001,2024-02-15T18:00:00.000000,SST,2023,136.92,,,,
2/16/2024,Refill_Only,2024-02-16T20:31:30.000000,1936.96,2823.36,886.048,,,,-1936.96,,,,
2/17/2024,Both_Events,2024-02-17T15:37:00.000000,1709.7600000000002,2566.4,857.7280000000001,2024-02-17T08:00:00.000000,SST,2156,446.24,,,,
2/17/2024,Supply_Only,,,,,2024-02-17T15:34:31.617000,SURTIDOR-TRUCKSHOP,1915,1915,,,,
2/18/2024,Both_Events,2024-02-18T10:15:00.000000,1787.5199999999998,2586.24,798.272,2024-02-18T10:12:46.570000,SURTIDOR-TRUCKSHOP,2065,277.48,,,,
2/18/2024,Supply_Only,,,,,2024-02-18T19:00:00.000000,P068,2369,2369,,,,
2/19/2024,Refill_Only,2024-02-19T04:34:00.000000,2061.12,3025.6,964.0319999999998,,,,-2061.12,,,,
2/20/2024,Both_Events,2024-02-20T05:24:30.000000,2044.8,3025.6,984.0959999999999,2024-02-20T05:21:35.720000,SURTIDOR-TRUCKSHOP,2254,209.2,,,,
2/20/2024,Refill_Only,2024-02-20T22:48:00.000000,1791.04,3025.6,1223.936,,,,-1791.04,,,,
2/21/2024,Both_Events,2024-02-21T21:32:00.000000,2167.68,3054.08,890.9119999999999,2024-02-21T08:00:00.000000,SST,2013,-154.68,,,,
2/21/2024,Supply_Only,,,,,2024-02-21T21:30:16.267000,SURTIDOR-TRUCKSHOP,2485,2485,,,,
2/23/2024,Both_Events,2024-02-23T14:45:00.000000,1760.3199999999997,2496.64,739.5199999999999,2024-02-23T14:42:40.143000,SURTIDOR-TRUCKSHOP,2054,293.68,,,,
2/24/2024,Both_Events,2024-02-24T08:44:00.000000,1812.48,3004.48,1182.3039999999999,2024-02-24T07:00:00.000000,SST,2018,205.52,,,,
2/25/2024,Both_Events,2024-02-25T03:44:00.000000,2167.6800000000003,2980.8,812.7679999999999,2024-02-25T08:00:00.000000,SST,2510,342.32,,,,
2/25/2024,Refill_Only,2024-02-25T21:02:30.000000,2150.08,2926.4,778.496,,,,-2150.08,,,,
2/26/2024,Both_Events,2024-02-26T22:53:00.000000,2192,2951.04,769.664,2024-02-26T08:00:00.000000,SST,2575,383,,,,
2/27/2024,Supply_Only,,,,,2024-02-27T08:00:00.000000,SST,2569,2569,,,,
2/28/2024,Refill_Only,2024-02-28T21:44:30.000000,1194.88,3004.48,862.3040000000001,,,,-1194.88,,,,
2/29/2024,Both_Events,2024-02-29T22:23:00.000000,2135.3599999999997,2975.68,841.792,2024-02-29T07:00:00.000000,SST,2398,262.64,,,,
3/1/2024,Both_Events,2024-03-01T23:22:00.000000,1927.04,2759.36,838.208,2024-03-01T08:00:00.000000,SST,2430,502.96,,,,
3/1/2024,Supply_Only,,,,,2024-03-01T23:19:46.343000,SURTIDOR-TRUCKSHOP,2201,2201,,,,
3/2/2024,Both_Events,2024-03-02T17:23:00.000000,1671.04,2857.6,1187.072,2024-03-02T07:00:00.000000,SST,1908,236.96,,,,
3/3/2024,Both_Events,2024-03-03T10:41:00.000000,1768.96,2631.04,866.144,2024-03-03T08:00:00.000000,SST,2173,404.04,,,,
3/4/2024,Both_Events,2024-03-04T16:14:00.000000,836.48,2650.88,917.8880000000001,2024-03-04T08:00:00.000000,SST,2200,1363.52,,,,
3/5/2024,Both_Events,2024-03-05T10:46:00.000000,1591.3600000000001,2561.28,970.048,2024-03-05T10:44:01.627000,SURTIDOR-TRUCKSHOP,1698,106.64,,,,
3/6/2024,Both_Events,2024-03-06T08:13:00.000000,1923.8399999999997,2764.16,844.1599999999999,2024-03-06T08:10:33.917000,SURTIDOR-TRUCKSHOP,2171,247.16,,,,
3/7/2024,Both_Events,2024-03-07T04:40:00.000000,346.8800000000001,2784,926.048,2024-03-07T08:00:00.000000,SST,2068,1721.12,,,,
3/8/2024,Both_Events,2024-03-08T01:53:30.000000,1962.2399999999998,2710.08,747.7760000000001,2024-03-08T08:00:00.000000,SST,2050,87.76,,,,
3/9/2024,Both_Events,2024-03-09T09:19:00.000000,2115.52,3050.56,927.936,2024-03-09T08:00:00.000000,P068,2413,297.48,,,,
3/10/2024,Both_Events,2024-03-10T08:52:30.000000,2179.2,3011.52,840.448,2024-03-10T06:00:00.000000,SST,2525,345.8,,,,
3/11/2024,Refill_Only,2024-03-11T23:00:30.000000,1947.8400000000001,2769.28,823.36,,,,-1947.84,,,,
3/12/2024,Both_Events,2024-03-12T20:02:30.000000,2041.92,2784,736.992,2024-03-12T06:00:00.000000,SST,2206,164.08,,,,
3/13/2024,Both_Events,2024-03-13T16:01:30.000000,2280,2993.92,715.1999999999999,2024-03-13T06:00:00.000000,SST,2393,113,,,,
