Origin,ShiftDate,TimeStamp,Equipment,TruckFleet,FuelLevelLiters,LastRefuel,Shift,FuelLevel
SURTIDOR-TRUCKSHOP,2023-12-31,2023-12-31T05:24:42.980000,T-210,CAT789C,1473.0,,N,46.0312
SST,2024-01-01,2024-01-01T08:00:00.000000,T-210,CAT789C,2016.0,95717,D,63.0
SST,2024-01-02,2024-01-02T08:00:00.000000,T-210,CAT789C,1962.0,86400,D,61.3125
SST,2024-01-03,2024-01-03T08:00:00.000000,T-210,CAT789C,2346.0,86400,D,73.3125
SST,2024-01-03,2024-01-03T18:00:00.000000,T-210,CAT789C,2907.0,36000,D,90.8438
SST,2024-01-04,2024-01-04T18:00:00.000000,T-210,CAT789C,2360.0,86400,D,73.75
SST,2024-01-05,2024-01-05T18:00:00.000000,T-210,CAT789C,2389.0,86400,D,74.6562
SST,2024-01-06,2024-01-06T18:00:00.000000,T-210,CAT789C,2246.0,86400,D,70.1875
SST,2024-01-07,2024-01-07T19:00:00.000000,T-210,CAT789C,2558.0,90000,D,79.9375
SST,2024-01-08,2024-01-08T19:00:00.000000,T-210,CAT789C,2239.0,86400,D,69.9688
SURTIDOR-TRUCKSHOP,2024-01-10,2024-01-10T04:12:48.810000,T-210,CAT789C,2251.0,119568,N,70.3438
SST,2024-01-10,2024-01-10T19:00:00.000000,T-210,CAT789C,2402.0,53231,D,75.0625
SST,2024-01-11,2024-01-11T19:00:00.000000,T-210,CAT789C,2041.0,86400,D,63.7812
SST,2024-01-12,2024-01-12T19:00:00.000000,T-210,CAT789C,2236.0,86400,D,69.875
SST,2024-01-14,2024-01-14T08:00:00.000000,T-210,CAT789C,2310.0,133200,D,72.1875
SURTIDOR-TRUCKSHOP,2024-01-15,2024-01-15T02:17:35.087000,T-210,CAT789C,2470.0,65855,N,77.1875
SST,2024-01-15,2024-01-15T19:00:00.000000,T-210,CAT789C,1017.0,60144,D,31.7812
SURTIDOR-TRUCKSHOP,2024-01-16,2024-01-16T16:26:36.543000,T-210,CAT789C,2039.0,77196,D,63.7188
SST,2024-01-17,2024-01-17T07:00:00.000000,T-210,CAT789C,2393.0,52403,D,74.7812
SST,2024-01-18,2024-01-18T08:00:00.000000,T-210,CAT789C,2245.0,90000,D,70.1562
SST,2024-01-19,2024-01-19T08:00:00.000000,T-210,CAT789C,2204.0,86400,D,68.875
SST,2024-01-20,2024-01-20T08:00:00.000000,T-210,CAT789C,1967.0,86400,D,61.4688
SST,2024-01-21,2024-01-21T08:00:00.000000,T-210,CAT789C,2035.0,86400,D,63.5938
SST,2024-01-22,2024-01-22T08:00:00.000000,T-210,CAT789C,2175.0,86400,D,67.9688
SST,2024-01-24,2024-01-24T08:00:00.000000,T-210,CAT789C,2002.0,172800,D,62.5625
SST,2024-01-25,2024-01-25T08:00:00.000000,T-210,CAT789C,2153.0,86400,D,67.2812
SST,2024-01-26,2024-01-26T08:00:00.000000,T-210,CAT789C,2143.0,86400,D,66.9688
SURTIDOR-TRUCKSHOP,2024-01-26,2024-01-26T23:56:48.407000,T-210,CAT789C,1828.0,57408,N,57.125
SST,2024-01-27,2024-01-27T08:00:00.000000,T-210,CAT789C,2382.0,28991,D,74.4375
SURTIDOR-TRUCKSHOP,2024-01-28,2024-01-28T15:10:53.147000,T-210,CAT789C,2218.0,112253,D,69.3125
SST,2024-01-29,2024-01-29T19:00:00.000000,T-210,CAT789C,2089.0,100146,D,65.2812
SURTIDOR-TRUCKSHOP,2024-01-31,2024-01-31T08:36:58.140000,T-210,CAT789C,2173.0,135418,D,67.9062
SST,2024-02-01,2024-02-01T06:00:00.000000,T-210,CAT789C,2452.0,76981,N,76.625
SST,2024-02-02,2024-02-02T07:00:00.000000,T-210,CAT789C,2347.0,90000,D,73.3438
SST,2024-02-03,2024-02-03T08:00:00.000000,T-210,CAT789C,2451.0,90000,D,76.5938
SST,2024-02-04,2024-02-04T08:00:00.000000,T-210,CAT789C,2202.0,86400,D,68.8125
SST,2024-02-04,2024-02-04T08:00:00.000000,T-210,CAT789C,1652.0,0,D,51.625
SST,2024-02-05,2024-02-05T08:00:00.000000,T-210,CAT789C,2177.0,86400,D,68.0312
SST,2024-02-06,2024-02-06T08:00:00.000000,T-210,CAT789C,2538.0,86400,D,79.3125
SURTIDOR-TRUCKSHOP,2024-02-07,2024-02-07T17:00:37.607000,T-210,CAT789C,1700.0,118837,D,53.125
SST,2024-02-08,2024-02-08T07:00:00.000000,T-210,CAT789C,1912.0,50362,D,59.75
SURTIDOR-TRUCKSHOP,2024-02-09,2024-02-09T02:52:25.133000,T-210,CAT789C,1859.0,71545,N,58.0938
SST,2024-02-09,2024-02-09T18:00:00.000000,T-210,CAT789C,2541.0,54454,D,79.4062
SST,2024-02-12,2024-02-12T07:00:00.000000,T-210,CAT789C,2268.0,219600,D,70.875
SURTIDOR-TRUCKSHOP,2024-02-13,2024-02-13T08:49:11.910000,T-210,CAT789C,1966.0,92951,D,61.4375
SURTIDOR-TRUCKSHOP,2024-02-14,2024-02-14T05:08:45.600000,T-210,CAT789C,2232.0,73173,N,69.75
SURTIDOR-TRUCKSHOP,2024-02-15,2024-02-15T02:39:51.743000,T-210,CAT789C,2612.0,77466,N,81.625
SST,2024-02-15,2024-02-15T18:00:00.000000,T-210,CAT789C,2023.0,55208,D,63.2188
SST,2024-02-17,2024-02-17T08:00:00.000000,T-210,CAT789C,2156.0,136800,D,67.375
SURTIDOR-TRUCKSHOP,2024-02-17,2024-02-17T15:34:31.617000,T-210,CAT789C,1915.0,27271,D,59.8437
SURTIDOR-TRUCKSHOP,2024-02-18,2024-02-18T10:12:46.570000,T-210,CAT789C,2065.0,67094,D,64.5312
P068,2024-02-18,2024-02-18T19:00:00.000000,T-210,CAT789C,2369.0,31633,D,74.0312
SURTIDOR-TRUCKSHOP,2024-02-20,2024-02-20T05:21:35.720000,T-210,CAT789C,2254.0,123695,N,70.4375
SST,2024-02-21,2024-02-21T08:00:00.000000,T-210,CAT789C,2013.0,95904,D,62.9062
SURTIDOR-TRUCKSHOP,2024-02-21,2024-02-21T21:30:16.267000,T-210,CAT789C,2485.0,48616,N,77.6562
SURTIDOR-TRUCKSHOP,2024-02-23,2024-02-23T14:42:40.143000,T-210,CAT789C,2054.0,148343,D,64.1875
SST,2024-02-24,2024-02-24T07:00:00.000000,T-210,CAT789C,2018.0,58639,D,63.0625
SST,2024-02-25,2024-02-25T08:00:00.000000,T-210,CAT789C,2510.0,90000,D,78.4375
SST,2024-02-26,2024-02-26T08:00:00.000000,T-210,CAT789C,2575.0,86400,D,80.4688
SST,2024-02-27,2024-02-27T08:00:00.000000,T-210,CAT789C,2569.0,86400,D,80.2812
SST,2024-02-29,2024-02-29T07:00:00.000000,T-210,CAT789C,2398.0,169200,D,74.9375
SST,2024-03-01,2024-03-01T08:00:00.000000,T-210,CAT789C,2430.0,90000,D,75.9375
SURTIDOR-TRUCKSHOP,2024-03-01,2024-03-01T23:19:46.343000,T-210,CAT789C,2201.0,55186,N,68.7812
SST,2024-03-02,2024-03-02T07:00:00.000000,T-210,CAT789C,1908.0,27613,D,59.625
SST,2024-03-03,2024-03-03T08:00:00.000000,T-210,CAT789C,2173.0,90000,D,67.9062
SST,2024-03-04,2024-03-04T08:00:00.000000,T-210,CAT789C,2200.0,86400,D,68.75
SURTIDOR-TRUCKSHOP,2024-03-05,2024-03-05T10:44:01.627000,T-210,CAT789C,1698.0,96241,D,53.0625
SURTIDOR-TRUCKSHOP,2024-03-06,2024-03-06T08:10:33.917000,T-210,CAT789C,2171.0,77192,D,67.8438
SST,2024-03-07,2024-03-07T08:00:00.000000,T-210,CAT789C,2068.0,85766,D,64.625
SST,2024-03-08,2024-03-08T08:00:00.000000,T-210,CAT789C,2050.0,86400,D,64.0625
P068,2024-03-09,2024-03-09T08:00:00.000000,T-210,CAT789C,2413.0,86400,D,75.4062
SST,2024-03-10,2024-03-10T06:00:00.000000,T-210,CAT789C,2525.0,79200,N,78.9062
